"","parm","estimate","estimate_sd","lbci","ubci","basin"
"Sigma[1,1]","Sigma[1,1]","    0.0894","  0.00831","    0.0739","    0.1064","Lower"
"Sigma[2,1]","Sigma[2,1]","   -0.1327","  0.01696","   -0.1674","   -0.1013","Lower"
"Sigma[1,2]","Correlation","   -0.7876","  0.01696","   -0.1674","   -0.1013","Lower"
"Sigma[2,2]","Sigma[2,2]","    0.3179","  0.03666","    0.2499","    0.3928","Lower"
"beta[1]","beta[1]"," 1077.2427","  1.01853"," 1039.8630"," 1117.2137","Lower"
"beta[2]","beta[2]","    0.0923","  1.03488","    0.0863","    0.0987","Lower"
"deviance","deviance","36637.9514","145.23122","36353.2855","36922.1069","Lower"
"sigma_obs","sigma_obs","   35.9107","  0.82556","   34.3260","   37.5597","Lower"
"Sigma[1,1]1","Sigma[1,1]","    0.2768","  0.03128","    0.2209","    0.3433","Upper"
"Sigma[2,1]1","Sigma[2,1]","   -0.3640","  0.04750","   -0.4634","   -0.2775","Upper"
"Sigma[1,2]1","Sigma[1,2]","   -0.3640","  0.04750","   -0.4634","   -0.2775","Upper"
"Sigma[2,2]1","Sigma[2,2]","    0.6342","  0.07821","    0.4900","    0.7960","Upper"
"beta[1]1","beta[1]"," 1256.4289","  1.06210"," 1124.1371"," 1425.7710","Upper"
"beta[2]1","beta[2]","    0.0496","  1.09391","    0.0412","    0.0588","Upper"
"deviance1","deviance","16888.1096","108.71202","16676.0101","17101.3333","Upper"
"sigma_obs1","sigma_obs","   23.9464","  0.81095","   22.4033","   25.5824","Upper"
